rule,ruleName,type
(?<filter>parliament\.uk/documents/lords-information-office),Lords Information Office document,NA
publications\.parliament\.uk/.+/ldjudgmt,Lords Judgement,NA
(?<filter>parliament\.uk/documents/lords-library),Lords Library document,NA
researchbriefings\.files\.parliament\.uk/documents/([Ll][Ll][Nn].+)/\1.pdf,Lords Library Note,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Ll][Ll][Nn],Lords Library Note,NA
publications\.parliament\.uk/.+/ld\d{6}/minutes,Lords Minutes,NA
publications\.parliament\.uk/.+/ld\d{6}/minutes/.+/ldordpap,Lords Order Paper,NA
publications\.parliament\.uk/pa/ld/ldordpap,Lords Order Paper,NA
(?<filter>publications\.parliament\.uk/pa/ld(\d{4})(\d{2})),{1}-{2} Session,Date
parliament\.uk/about/faqs/.+/lords-recess-dates,Lords Recess dates,NA
parliament\.uk/business/committees/committees-a-z/lords-select,Lords Select,NA
publications\.parliament\.uk/.+/ldselect,Lords Select Committee,NA
parliament\.uk/business/lords/lord-speaker,Lords Speaker,NA
parliament\.uk/business/committees/committees-a-z/other-committees/size-of-house-committee,Lords Speaker's committee on the size of the House,NA
publications\.parliament\.uk/pa/.+/ldstords,Lords Standing Orders,NA
parliament\.uk/business/publications/written-questions-answers-statements/written-statement/\w+/.+/HLWS([0-9]+)\/?,Lords Written Statement Id: {1},NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/management-and-services-in-the-house-of-lords,Management and Services in the House of Lords,NA
parliament\.uk/documents/commons-chief-executive/MBPapers,Management Board Paper,NA
parliament\.uk/mps-lords-and-offices/offices/commons/media-relations-group,Media Relations Team,NA
(?<filter>parliament\.uk/mps-lords-and-offices/members-allowances),MP and Lord allowances,NA
parliament\.uk/documents/commons-expenditure/Member%20Annual%20Accounts,Member Annual Accounts,NA
(?<filter>mpsallowancesdb\.parliament\.uk),Members allowances,NA
parliament\.uk/documents/foi/Allowances,Members' allowances,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/members-allowances-committee,Members' Allowances Committee,NA
parliament\.uk/documents/commons-committees/members-allowances,Members' Allowances Committee,NA
parliament\.uk/documents/commons-committees/members-estimate-audit,Members Estimate Audit Committee,NA
publications\.parliament\.uk/.+/cmmemest,Members Estimate Committee,NA
parliament\.uk/business/committees/committees-a-z/other-committees/members-estimate,Members Estimate Committee,NA
publications\.parliament\.uk/.+/cmmemex,Members Expenses Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/members-expenses,Members' Expenses Committee,NA
(?<filter>findyourmp\.parliament\.uk),MPs,NA
parliament\.uk/business/commons/members-of-the-house-of-commons-,Members of the House of Commons,NA
parliament\.uk/business/committees/.+/membership,Membership,NA
parliament\.uk/business/committees/committees-a-z/lords-select/mental-capacity-act-2005,Mental Capacity Act 2005 Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/merits-of-statutory-instruments-committee,Merits of Statutory Instruments Committee,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=40,{3}-{2}-{1},Date
archive\.scottish\.parliament\.uk/business/chamber,Minutes of Proceedings,NA
parliament\.uk/business/committees/committees-archive/select-committee-on-modernisation-of-the-house-of-commons,Modernisation Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/monetary-policy-committee-of-the-bank-of-england,Monetary Policy Committee of the Bank of England,NA
(?<filter>pds\.blog\.parliament\.uk/(\d{4}/\d{2})),{1},Date
(?<filter>archives\.blog\.parliament\.uk/(\d{4}/\d{2})),{1},Date
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=45,{3}-{2}-{1},Date
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=48,{3}-{2}-{1},Date
(?<filter>parliament\.uk/mps-lords-and-offices/mps),MPs,NA
(?<filter>parliament\.uk/about/mps-and-lords),MPs and Lords,NA
archive\.scottish\.parliament\.uk/business/committees/historic/ad-natgal,National Galleries of Scotland Bill Committee,NA
publications\.parliament\.uk/.+/ldbuilt,National Policy for the Built Environment Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/built-environment,National Policy for the Built Environment Committee,NA
parliament\.uk/documents/lords-committees/built-environment,National Policy for the Built Environment Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/nerc-act-committee,NERC Act 2006 Committee,NA
parliament\.uk/documents/lords-committees/NERC-Act-2006,NERC Act 2006 Committee,NA
parliament\.uk/business/committees/.+/news/,news,NA
(?<filter>parliament\.uk/business/news),news,NA
parliament\.uk/visiting/visiting-parliament-news,news,NA
parliament\.uk/mps-lords-and-offices/offices/delegations/nato-pa,North Atlantic Treaty Organisation Parliamentary Assembly,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/north-east-committee,North East Committee,NA
publications\.parliament\.uk/.+/cmneast,North East Regional Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/north-west-committee,North West Committee,NA
publications\.parliament\.uk/.+/cmnwest,North West Regional Committee,NA
parliament\.uk/about/living-heritage/building/northern-estate,Northern Estate,NA
publications\.parliament\.uk/.+/cmniaf,Northern Ireland Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/northern-ireland-affairs-committee,Northern Ireland Affairs Committee,NA
parliament\.uk/documents/commons-committees/northern-ireland-affairs,Northern Ireland Affairs Committee,NA
publications\.parliament\.uk/.+/cmstand/nirelg,Northern Ireland Grand Committee,NA
parliament\.uk/business/publications/hansard/commons/gc-debates/northern-ireland-grand-committee,Northern Ireland Grand Committee,NA
publications\.parliament\.uk/.+/cmpribus/pb(\d{2})(\d{2})(\d{2})giv,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmjournal/([^/]+)/,Number: {1},NA
parliament\.uk/about/how/occassions,Occassions,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/office-of-deputy-prime-minister,"Office of Deputy Prime Minister: Housing, Planning, Local Government and the Regions Committee",NA
publications\.parliament\.uk/.+/cmodpm,Office of the Deputy Prime Minister,NA
(?<filter>parliament\.uk/documents/pcfs),office of the parliamentary commissioner for standards,NA
publications\.parliament\.uk/.+/listgovt,Officers and Staff,NA
parliament\.uk/business/committees/committees-a-z/lords-select/olympic-paralympic-legacy,Olympic and Paralympic Legacy Committee,NA
parliament\.uk/visiting/online-tours,Online tours,NA
publications\.parliament\.uk/.+/cmagenda/ob(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
publications\.parliament\.uk/.+/ldorderpaper,Order paper,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=38,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmagenda/op(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
parliament\.uk/mps-lords-and-offices/offices/delegations/osce1,Organisation for the Security and Cooperation in Europe Parliamentary Assembly,NA
parliament\.uk/about/living-heritage/evolutionofparliament/originsofparliament,Origins of Parliament,NA
parliament\.uk/business/committees/committees-a-z/other-committees,Other,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=47,{3}-{2}-{1},Date
parliament\.uk/business/committees/.+/other-work,Other work,NA
parliament\.uk/education/outreach-in-your-school,Outreach in your school,NA
parliament\.uk/business/committees/committees-a-z/other-committees/panel-of-chairs,Panel of Chairs,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=54,{3}-{2}-{1},Date
secondreading\.parliament\.uk.*/parliament-elections,Parliament and Elections,NA
(?<filter>parliament\.uk/about/parliament-and-women),Parliament and women,NA
parliament\.uk/about/living-heritage/evolutionofparliament/parliamentwork,Parliament at work,NA
parliament\.uk/about/podcasts/parliament-explained-podcast,Parliament Explained,NA
(?<filter>shop.parliament\.uk),shop,NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/post/fellowships/parliamentary-academic-fellowship-scheme/,Parliamentary Academic Fellowship,NA
parliament\.uk/business/publications/parliamentary-archives,Parliamentary Archvies,NA
parliament\.uk/mps-lords-and-offices/offices/delegations/coe2,Parliamentary Assembly of the Council of Europe,NA
publications\.parliament\.uk/.+/jtpcbs,Parliamentary Commission on Banking Standards,NA
parliament\.uk/documents/joint-committees/Banking-Standards,Parliamentary Commission on Banking Standards,NA
publications\.parliament\.uk/.+/cmcomstan,Parliamentary Commissioner for Standards,NA
publications\.parliament\.uk/.+/cmcomm,Parliamentary Commissioner for Standards,NA
parliament\.uk/mps-lords-and-offices/standards-and-financial-interests/parliamentary-commissioner-for-standards,Parliamentary Commissioner for Standards,NA
parliament\.uk/site-information/copyright-parliament,Parliamentary Copyright,NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/parliamentary-digital-service,Parliamentary Digital Service,NA
(?<filter>pds\.blog\.parliament\.uk),Parliamentary Digital Service Blog,NA
parliament\.uk/documents/jobs/pds-vacancies,Parliamentary Digital Service vacancies,NA
(?<filter>parliament\.uk/documents/facilities),Parliamentary facilities,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/POST,Parliamentary Office of Science and Technology,NA
(?<filter>parliament\.uk/documents/post),Parliamentary Office of Science and Technology,NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/post,Parliamentary Office of Science and Technology,NA
researchbriefings\.files\.parliament\.uk/documents/([Pp][Oo][Ss][Tt]-[Pp][NnBb].+)/\1.pdf,Parliamentary Office of Science and Technology,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Pp][Oo][Ss][Tt],Parliamentary Office of Science and Technology,NA
(?<filter>parliament\.uk/mps-lords-and-offices/offices),offices,NA
parliament\.uk/about/podcasts/parliamentaryoutreach,Parliamentary Outreach,NA
parliament\.uk/business/committees/committees-a-z/joint-select/jcpp,Parliamentary Privilege,NA
(?<filter>parliament\.uk/business/publications),publications and records,NA
parliament\.uk/site-information/using-this-website,Parliamentary Website,NA
(?<filter>parliamentlive\.tv/),ParliamentLive,NA
(?<filter>parliamentlive\.tv/Committees),ParliamentLive Committees,NA
(?<filter>parliamentlive\.tv/Commons),ParliamentLive Commons,NA
parliamentlive\.tv/Event/Index/(.+),ParliamentLive Event ID: {1},NA
(?<filter>parliamentlive\.tv/Lords),ParliamentLive Lords,NA
(?<filter>parliament\.uk/education),education,NA
parliament\.uk/about/how/role,Parliament's role,NA
parliament\.uk/business/committees/committees-a-z/other-committees/partnerships-prosecution-scotland,Partnerships (Prosecution) (Scotland) Bill [HL],NA
\.pdf$,pdf,NA
parliament\.uk/about/living-heritage/transformingsociety/,People and Parliament transforming society,NA
parliament\.uk/business/committees/committees-a-z/lords-select/personal-service-companies,Personal Service Companies Committee,NA
parliament\.uk/documents/lords-committees/Personal-Service-Companies,Personal Service Companies Committee,NA
www\.parliament\.uk/biographies/.+/.+/(\d+),PersonMnis: {1},NA
hansard\.parliament\.uk/search/MemberContributions.+memberId=(\d+),PersonMnis: {1},NA
(?<filter>petition\.parliament\.uk),petitions,NA
petition\.parliament\.uk/petitions/(\d+),Petition Id: {1},NA
petition\.parliament\.uk/archived/petitions/(\d+),Petition Id: {1},NA
publications\.parliament\.uk/.+/cmpetitions,Petitions Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/petitions-committee,Petitions Committee,NA
parliament\.uk/documents/commons-committees/petitions,Petitions Committee,NA
(?<filter>parliament\.uk/about/podcasts),podcasts,NA
parliament\.uk/business/committees/committees-a-z/commons-select/political-and-constitutional-reform-committee,Political and Constitutional Reform Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/political-polling-digital-media,Political Polling and Digital Media Committee,NA
parliament\.uk/documents/lords-committees/political-polling-digital-media,Political Polling and Digital Media Committee,NA
parliament\.uk/worksofart/collection-highlights/political-satire,Political satire,NA
(?<filter>portcullis\.parliament\.uk),"Portcullis, Parliamentary Archives Catalogue",NA
parliament\.uk/worksofart/collection-highlights/portraits,Portraits,NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/post/fellowships,POST fellowships,NA
parliament\.uk/documents/post/pr,POST report,NA
parliament\.uk/documents/post/postpr,POST report,NA
researchbriefings\.files\.parliament\.uk/documents/(POST-PB.+)/\1.pdf,POSTbrief,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/POST-PB,POSTbrief,NA
researchbriefings\.files\.parliament\.uk/documents/(POST-PN.+)/\1.pdf,POSTnote,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/POST-PN,POSTnote,NA
parliament\.uk/documents/post/postpn,POSTnote,NA
parliament\.uk/documents/post/pn,POSTnote,NA
\.pptx?$,Powerpoint,NA
parliament\.uk/business/lords/media-centre,Press Office,NA
parliament\.uk/business/news/parliament-government-and-politics/parliament/prime-ministers-questions,Prime Minister's Questions,NA
parliament\.uk/PMQs,Prime Minister's Questions,NA
"parliament\.uk/business/news/.+/.+/prime-.+-questions-(\d{1,2})-(\w+)-(\d{4})","{1} {2}, {3}",Date
"parliament\.uk/business/news/.+/.+/pmqs-(\d{1,2})-(\w+)-(\d{4})","{1} {2}, {3}",Date
"parliament\.uk/PMQs-(\d{1,2})-(\w+)-(\d{4})","{1} {2}, {3}",Date
parliament\.uk/site-information/privacy,Privacy,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/privacy-and-superinjunctions,Privacy and Injunctions,NA
publications\.parliament\.uk/.+/privbill,Private Bills,NA
publications\.parliament\.uk/.+/cmpribus,Private Business,NA
publications\.parliament\.uk/.+/cmagenda/pmbpaper(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmprivi,Privileges Committee,NA
publications\.parliament\.uk/.+/cmpriv,Privileges Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/privileges,Privileges Committee,NA
parliament\.uk/documents/commons-committees/Privileges-Committee,Privileges Commmittee,NA
publications\.parliament\.uk/.+/cmproced,Procedure Committee,NA
publications\.parliament\.uk/.+/ldproced,Procedure Committee,NA
publications\.parliament\.uk/.+/ldprohse,Procedure Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/procedure-committee,Procedure Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/procedure-committee,Procedure Committee,NA
parliament\.uk/documents/commons-committees/procedure,Procedure Committee,NA
parliament\.uk/documents/lords-committees/procedure,Procedure Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/procedures,Procedures,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/procedures,Procedures,NA
lordspublications.parliament\.uk/product/[^/]+/(.+),Product code: {1},NA
lordspublications.parliament\.uk/pdf/([^.]+).,Product code: {1},NA
parliament\.uk/business/committees/committees-a-z/other-committees/public-accounts-commission,Public Accounts Commission,NA
parliament\.uk/documents/commons-committees/publicaccountscommission,Public Accounts Commission,NA
publications\.parliament\.uk/.+/cmpubacc,Public Accounts Committee,NA
publications\.parliament\.uk/.+/cmpac,Public Accounts Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/public-accounts-committee,Public Accounts Committee,NA
parliament\.uk/documents/commons-committees/public-accounts,Public Accounts Committee,NA
publications\.parliament\.uk/.+/cmpubadm,Public Administration and Constitutional Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/public-administration-and-constitutional-affairs-committee,Public Administration and Constitutional Affairs Committee,NA
parliament\.uk/documents/commons-committees/PACAC,Public Administration and Constitutional Affairs Committee,NA
parliament\.uk/documents/commons-committees/public-administration,Public Administration Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/public-administration-select-committee,Public Administration Select Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/publicAudit,Public Audit,NA
publications\.parliament\.uk/.+/cmpublic,Public Bill Committee,NA
publications\.parliament\.uk/.+/cmpblist,Public bill list,NA
publications\.parliament\.uk/pa/bills/Public-Bill-List,Public bill list,NA
publications\.parliament\.uk/pa/bills/pblist,Public bill list,NA
parliament\.uk/documents/commons-information-office/Public-Bill-list,Public Bill List,NA
parliament\.uk/business/bills-and-legislation/current-bills/public-bill-list/,Public bill list,NA
publications\.parliament\.uk/.+/pabills,public bills,NA
archive\.scottish\.parliament\.uk/s3/committees/petitions,Public Petitions,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/petitions,Public Petitions,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/public-service,Public Service,NA
parliament\.uk/business/committees/committees-a-z/lords-select/public-services-committee,Public Service and Demographic Change Select Committee,NA
parliament\.uk/site-information/foi/publication-schemes,Publication schemes,NA
parliament\.uk/business/committees/.+/publications,Publications,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/quadripartite-committee-,Quadripartite Committee,NA
(?<filter>qna\.files\.parliament\.uk/qna-attachments),Questions and Answers attachment,NA
publications\.parliament\.uk/.+/cmordbk1,Questions Book,NA
publications\.parliament\.uk/.+/cmordbk2,Questions Book,NA
publications\.parliament\.uk/.+/cmquestionbook,Questions Book,NA
publications\.parliament\.uk/.+/cmfutoral,Questions for Oral Answer on a future day,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=49,{3}-{2}-{1},Date
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=50,{3}-{2}-{1},Date
parliament\.uk/business/publications/committees/recent-reports,Recent report,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/reform-of-the-house-of-commons-committee-,Reform of the House of Commons Committee,NA
publications\.parliament\.uk/.+/ldfresh,Refreshment Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/refreshment-committee,Refreshment Committee,NA
publications\.parliament\.uk/.+/cmallparty/(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmregmem,Register of Commons Members' Financial Interests,NA
publications\.parliament\.uk/.+/cmsecret,Register of Interests of Members' Secretaries and Research Assistants,NA
publications\.parliament\.uk/.+/cmjournl,Register of Journalists' Interests,NA
parliament\.uk/documents/publications-records/House-of-Lords-Publications/Records-activities-and-membership/Register-of-Lords-Interests/Register(\d{2})(\d{2})(\d{2}),{1}-{2}-{3},Date
publications\.parliament\.uk/pa/.+/ldreg,Register of Lords' Interests,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/regulators,Regulators,NA
parliament\.uk/documents/commons-committees/regulatory-reform,Regulatory Reform Commitee,NA
publications\.parliament\.uk/.+/cmdelreg,Regulatory Reform Committee,NA
publications\.parliament\.uk/.+/cmdereg,Regulatory Reform Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/regulatory-reform-committee,Regulatory Reform Committee,NA
parliament\.uk/about/how/role/relations-with-other-institutions,Relations with other institutions,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/religious-offences-in-england-and-wales,Religious Offences in England and Wales,NA
parliament\.uk/documents/commons/lib/research,Research,NA
secondreading\.parliament\.uk.*/briefing-paper,Research Briefing,NA
(?<filter>researchbriefings\.parliament\.uk),research briefings,NA
(?<filter>researchbriefings\.files\.parliament\.uk),research briefings,NA
(?<filter>researchbriefings\.files\.parliament\.uk/documents),Research Briefings document,NA
researchbriefings\.files\.parliament\.uk/documents/(rp.+)/\1.pdf,Research Paper,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/rp,Research Paper,NA
researchbriefings\.files\.parliament\.uk/documents/([Rr][Pp].+)/\1.pdf,Research Paper,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Rr][Pp],Research Paper,NA
publications\.parliament\.uk/business/.+/research,Research publications,NA
parliament\.uk/business/publications/research,Research publications,NA
parliament\.uk/about/living-heritage/building/restoration-project,Restoration and Renewal,NA
(?<filter>restorationandrenewal.parliament\.uk),Restoration and renewal,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=53,{3}-{2}-{1},Date
archive\.scottish\.parliament\.uk/s3/committees/rssb,Review of SPCB Supported Bodies,NA
archive\.scottish\.parliament\.uk/business/committees/historic/ad-rorig,Robin Rigg Offshore Wind Farm (Navigation and Fishing) (Scotland) Bill Committee,NA
parliament\.uk/business/committees/.+/role,Role of Committee,NA
parliament\.uk/business/committees/committees-a-z/joint-select/joint-committee-rookery-south,Rookery South (Resource Recovery Facility) Order 2011,NA
parliament\.uk/site-information/rss-feeds,RSS Feeds,NA
parliament\.uk/documents/publications-records/House-of-Lords-Publications/Rules-guides-for-business,Rules and guides for business,NA
parliament\.uk/business/publications/house-of-lords-publications/rules-and-guides-for-business,Rules and Guides for business,NA
archive\.scottish\.parliament\.uk/s3/committees/rae,Rural Affairs and Environment,NA
archive\.scottish\.parliament\.uk/business/committees/historic/x-rural,Rural Affairs/ Rural Development,NA
archive\.scottish\.parliament\.uk/business/committees/historic/ad-fish,Salmon and Freshwater Fisheries (Consolidation) (Scotland) Bill Committee,NA
parliament\.uk/education/visit-parliament-with-your-school,School visits,NA
secondreading\.parliament\.uk.*/science,Science,NA
parliament\.uk/business/committees/committees-a-z/commons-select/science-and-technology-committee,Science and Technolgy Committee,NA
publications\.parliament\.uk/.+/ldsctech,Science and Technology Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/science-and-technology-committee,Science and Technology Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/science-and-technology-committee-,Science and Technology Committee (Commons Former Committee),NA
parliament\.uk/documents/commons-committees/science-technology,Science and Technology Committee (Commons),NA
parliament\.uk/documents/lords-committees/science-technology,Science and Technology Committee (Lords),NA
parliament\.uk/business/committees/committees-a-z/lords-select/science-and-technology-sub-committee-i,Science and Technology Sub-Committee I,NA
parliament\.uk/about/podcasts/scienceinparliament,Science in Parliament,NA
publications\.parliament\.uk/.+/cmsctech,Sciene and Technology Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/scotBill,Scotland Bill,NA
publications\.parliament\.uk/.+/cmscotaf,Scottish Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/scottish-affairs-committee,Scottish Affairs Committee,NA
parliament\.uk/documents/commons-committees/scottish-affairs,Scottish Affairs Committee,NA
archive\.scottish\.parliament\.uk/corporate/scpa,Scottish Commission for Public Audit,NA
archive\.scottish\.parliament\.uk/s3/committees/scpa,Scottish Commission for Public Audit,NA
archive\.scottish\.parliament\.uk/corporate/AnualReports/SP_AnnualReports,Scottish Parliament Annual Report,NA
(?<filter>mspallowances\.scottish\.parliament\.uk),Scottish Parliament MSP Allowances Search,NA
archive\.scottish\.parliament\.uk/s3/committees/sppb,Scottish Parliamentary Pension Bill,NA
archive\.scottish\.parliament\.uk/s3/committees/spps,Scottish Parliamentary Pension Scheme,NA
archive\.scottish\.parliament\.uk/business/committees/historic/adhoc1,Scottish Parliamentary Standards Commissioner Bill Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/scrutinyunit,Scrutiny Unit,NA
parliament\.uk/documents/commons/Scrutiny,Scrutiny Unit,NA
parliament\.uk/documents/commons-committees/Scrutiny-Unit,Scrutiny Unit,NA
parliament\.uk/mps-lords-and-offices/offices/commons/scrutinyunit,Scrutiny Unit,NA
parliament\.uk/business/publications/parliamentary-archives/search-finding-aids-to-online-collections-,Searching aids to online collections,NA
publications\.parliament\.uk/.+/ldsecleg,Secondary Legislation Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/secondary-legislation-scrutiny-committee,Secondary Legislation Scrutiny Committee,NA
parliament\.uk/documents/lords-committees/Secondary-Legislation-Scrutiny-Committee,Secondary Legislation Scrutiny Committee,NA
parliament\.uk/business/committees/committees-a-z/other-committees/joint-committee-on-security,Security (Joint Committee),NA
parliament\.uk/business/publications/committees/select-committee-publications,Select committee,NA
parliament\.uk/mps-lords-and-offices/mps/select-committee-membership,Select committee membership,NA
publications\.parliament\.uk/.+/ldadopt,Select Committee on Adoption Legislation,NA
parliament\.uk/business/committees/committees-a-z/lords-select/charities-committe,Select Committee on Charities,NA
publications\.parliament\.uk/.+/ldcref,Select Committee on Constitutional Reform Bill,NA
publications\.parliament\.uk/.+/ldintergov,Select Committee on Intergovernmental Organisations,NA
publications\.parliament\.uk/.+/ldpublic,Select Committee on Public Service and Demographic Change,NA
parliament\.uk/documents/joint-committees/statutory-instruments,Select Committee on Statutory Instruments,NA
publications\.parliament\.uk/.+/ldmentalcap,Select Committee on the Mental Capacity Act 2005,NA
parliament\.uk/documents/lords-committees/mental-capacity-act,Select Committee on the Mental Capacity Act 2005,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=46,{3}-{2}-{1},Date
parliament\.uk/about/how/committees/select,Select committees,NA
(?<filter>committeesengagement\.blog\.parliament\.uk),Select Committees Public Engagement blog,NA
publications\.parliament\.uk/.+/ldcomsel,Selection Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/committee-of-selection-commons,Selection Committee,NA
parliament\.uk/documents/lords-committees/selection,Selection Committee,NA
parliament\.uk/documents/commons-public-bill-office/.+/selection-of-amendments,Selection of Amendments,NA
parliament\.uk/mps-lords-and-offices/offices/commons/serjeantatarms,Serjeant at Arms directorate,NA
parliament\.uk/business/committees/committees-a-z/lords-select/services-committee,Services Committee,NA
parliament\.uk/documents/lords-committees/service,Services Committee,NA
publications\.parliament\.uk/.+/privbill/(\d{2})(\d{2})/,{1}-{2} Session,Date
publications\.parliament\.uk/.+/privbill/(\d{4})(\d{2})/,{1}-{2} Session,Date
parliament\.uk/documents/DPRR/(\d{4})-(\d{2}),{1}-{2} Session,Date
parliament\.uk/documents/commons-committees/journal-office/sessional-dairies/commons-sessional-diary-(\d{4})-(\d{2}),{1}-{2},Date
parliament\.uk/documents/commons-committees/journal-office/sessional-dairies/Sessional-Diary-(\d{4})-(\d{2}),{1}-{2},Date
publications\.parliament\.uk/.+/csession,Sessional Returns,NA
publications\.parliament\.uk/.+/ldsess,Sessional Returns,NA
parliament\.uk/business/committees/committees-a-z/lords-select/sexual-violence-in-conflict,Sexual Violence in Conflict Committee,NA
parliament\.uk/documents/lords-committees/sexual-violence-in-conflict,Sexual Violence in Conflict Committee,NA
(?<filter>parliament\.uk/site-information),site information,NA
parliament\.uk/business/committees/committees-a-z/lords-select/small-medium-enterprises-committee,Small and Medium Sized Enterprises Select Committee,NA
archive\.scottish\.parliament\.uk/business/committees/historic/x-social,"Social Inclusion, Housing and Voluntary Sector Committee/ Social Justice",NA
publications\.parliament\.uk/.+/ldsocmob,Social Mobility Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/social-mobility,Social Mobility Committee,NA
parliament\.uk/documents/lords-committees/social-mobility,Social Mobility Committee,NA
secondreading\.parliament\.uk.*/social-policy,Social Policy,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/social-security-committee-,Social Security Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/soft-power-and-the-uks-influence,Soft Power and the UK’s Influence Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/south-east-committee,South East Committee,NA
publications\.parliament\.uk/.+/cmseast,South East Regional Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/south-west-committee,South West Committee,NA
publications\.parliament\.uk/.+/cmswest,South West Regional Committee,NA
parliament\.uk/business/commons/the-speaker/speeches/speakers-lecture-series/,Speaker Lecture Series,NA
(?<filter>digitaldemocracy\.parliament\.uk),Speaker’s Commission on Digital Democracy,NA
parliament\.uk/business/committees/committees-a-z/other-committees/works-of-art,Speaker's Advisory Committee on Works of Art,NA
parliament\.uk/documents/commons-committees/works-of-art,Speaker's Advisory Committee on Works of Art,NA
