rule,ruleName,type
archive\.scottish\.parliament\.uk/s3/committees,committees,NA
archive\.scottish\.parliament\.uk/business/committees,committees,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=43,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmquad,Committees on Arms Export Controls,NA
(?<filter>www\.parliament\.uk/biographies/commons),Commons,NA
parliament\.uk/mps-lords-and-offices/offices/commons,Commons,NA
parliament\.uk/mps-lords-and-offices/members-allowances/house-of-commons,Commons,NA
(?<filter>calendar\.parliament\.uk/calendar/Commons),Commons,NA
publications\.parliament\.uk/pa/bills/cbill/(\d{4})-(\d{4})/,{1}-{2},Date
publications\.parliament\.uk/.+/cmbills,Commons Bills,NA
researchbriefings\.files\.parliament\.uk/documents/(cbp.+)/\1.pdf,Commons Briefing Paper,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/cbp,Commons Briefing Paper,NA
researchbriefings\.files\.parliament\.uk/documents/([Cc][Bb][Pp].+)/\1.pdf,Commons Briefing Paper,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Cc][Bb][Pp],Commons Briefing Paper,NA
publications\.parliament\.uk/.+/cmagenda,Commons Business paper,NA
parliament\.uk/business/publications/business-papers/commons,Commons business papers,NA
(?<filter>parliament\.uk/documents/commons-catering),Commons catering,NA
(?<filter>parliament\.uk/documents/commons-chief-executive),Commons Chief Executive/ Clerk of the House,NA
(?<filter>parliament\.uk/documents/commons-commission),Commons Commission,NA
(?<filter>parliament\.uk/documents/commons-committees),Commons committee document,NA
researchbriefings\.files\.parliament\.uk/documents/(cdp.+)/\1.pdf,Commons Debate Pack,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/cdp,Commons Debate Pack,NA
researchbriefings\.files\.parliament\.uk/documents/([Cc][Dd][Pp].+)/\1.pdf,Commons Debate Pack,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Cc][Dd][Pp],Commons Debate Pack,NA
(?<filter>parliament\.uk/documents/commons-expenditure),Commons expenditure,NA
(?<filter>parliament\.uk/documents/commons-finance-office),Commons Finance Office document,NA
publications\.parliament\.uk/.+/cmgovern,Commons Governance Committee,NA
